iter	Passed	Remaining
0	47	23807
1	92	22956
2	124	20676
3	171	21242
4	209	20726
5	235	19428
6	262	18457
7	283	17409
8	308	16828
9	336	16498
10	368	16400
11	396	16115
12	429	16093
13	457	15887
14	495	16028
15	519	15702
16	552	15693
17	579	15510
18	607	15370
19	640	15372
20	670	15285
21	706	15347
22	730	15155
23	764	15167
24	797	15151
25	823	15008
26	858	15036
27	891	15025
28	937	15229
29	967	15151
30	999	15114
31	1029	15053
32	1056	14951
33	1091	14956
34	1137	15117
35	1157	14916
36	1176	14718
37	1194	14528
38	1220	14428
39	1265	14549
40	1305	14611
41	1351	14735
42	1401	14900
43	1425	14778
44	1483	15004
45	1524	15046
46	1566	15098
47	1595	15019
48	1622	14937
49	1654	14891
50	1709	15054
51	1755	15121
52	1803	15210
53	1851	15288
54	1883	15236
55	1958	15527
56	1988	15455
57	2042	15565
58	2078	15532
59	2137	15672
60	2178	15674
61	2223	15708
62	2275	15782
63	2311	15746
64	2339	15654
65	2366	15560
66	2401	15521
67	2428	15425
68	2457	15353
69	2505	15393
70	2550	15410
71	2577	15324
72	2604	15235
73	2647	15239
74	2682	15199
75	2731	15237
76	2767	15200
77	2815	15232
78	2864	15263
79	2905	15256
80	2965	15339
81	2998	15284
82	3037	15261
83	3073	15221
84	3116	15214
85	3152	15174
86	3191	15149
87	3246	15201
88	3271	15109
89	3297	15021
90	3324	14941
91	3368	14939
92	3408	14917
93	3467	14975
94	3532	15061
95	3571	15029
96	3611	15005
97	3647	14964
98	3690	14946
99	3728	14914
100	3785	14955
101	3823	14917
102	3858	14872
103	3910	14889
104	3952	14870
105	3995	14850
106	4048	14871
107	4082	14817
108	4120	14781
109	4154	14729
110	4193	14695
111	4223	14633
112	4251	14560
113	4278	14486
114	4314	14443
115	4343	14379
116	4378	14333
117	4415	14293
118	4453	14258
119	4496	14239
120	4531	14194
121	4591	14225
122	4638	14218
123	4677	14184
124	4737	14213
125	4786	14207
126	4822	14162
127	4865	14139
128	4903	14103
129	4966	14135
130	5007	14105
131	5051	14081
132	5090	14045
133	5122	13990
134	5158	13946
135	5200	13917
136	5227	13851
137	5255	13784
138	5293	13746
139	5330	13707
140	5375	13687
141	5411	13643
142	5448	13601
143	5486	13563
144	5535	13551
145	5574	13516
146	5637	13537
147	5677	13503
148	5716	13466
149	5759	13438
150	5810	13429
151	5851	13397
152	5889	13357
153	5932	13329
154	5970	13289
155	6016	13267
156	6087	13299
157	6120	13248
158	6158	13207
159	6179	13131
160	6204	13064
161	6231	13001
162	6239	12900
163	6265	12835
164	6295	12781
165	6345	12767
166	6391	12744
167	6446	12739
168	6482	12695
169	6494	12606
170	6531	12566
171	6566	12522
172	6602	12479
173	6633	12428
174	6676	12399
175	6709	12351
176	6742	12303
177	6758	12226
178	6799	12192
179	6842	12164
180	6902	12164
181	6940	12127
182	6978	12087
183	7018	12053
184	7056	12015
185	7102	11990
186	7144	11957
187	7174	11907
188	7202	11851
189	7228	11793
190	7256	11739
191	7293	11700
192	7336	11670
193	7380	11640
194	7428	11619
195	7468	11583
196	7514	11557
197	7552	11519
198	7589	11479
199	7623	11434
200	7675	11418
201	7748	11431
202	7783	11387
203	7807	11328
204	7850	11297
205	7889	11260
206	7930	11225
207	7973	11194
208	8011	11155
209	8061	11132
210	8109	11107
211	8144	11064
212	8173	11012
213	8199	10958
214	8228	10907
215	8271	10875
216	8302	10827
217	8341	10790
218	8396	10774
219	8448	10752
220	8482	10708
221	8522	10672
222	8569	10644
223	8585	10578
224	8632	10550
225	8670	10512
226	8714	10480
227	8775	10469
228	8824	10442
229	8840	10378
230	8886	10348
231	8926	10311
232	8968	10277
233	8986	10215
234	9025	10177
235	9062	10137
236	9096	10094
237	9130	10051
238	9160	10004
239	9190	9956
240	9218	9906
241	9239	9850
242	9271	9805
243	9304	9761
244	9343	9724
245	9381	9686
246	9421	9649
247	9465	9618
248	9516	9593
249	9562	9562
250	9600	9523
251	9644	9491
252	9683	9453
253	9731	9424
254	9778	9394
255	9817	9357
256	9861	9324
257	9893	9279
258	9933	9243
259	9975	9208
260	10035	9189
261	10086	9162
262	10113	9113
263	10142	9066
264	10169	9018
265	10198	8971
266	10235	8931
267	10278	8897
268	10318	8860
269	10363	8828
270	10403	8790
271	10445	8756
272	10487	8720
273	10500	8661
274	10546	8628
275	10594	8598
276	10617	8547
277	10676	8525
278	10713	8486
279	10749	8445
280	10789	8408
281	10828	8370
282	10843	8314
283	10875	8271
284	10915	8234
285	10989	8222
286	11050	8201
287	11096	8168
288	11127	8123
289	11155	8078
290	11184	8032
291	11213	7987
292	11252	7949
293	11289	7910
294	11333	7875
295	11372	7837
296	11421	7806
297	11462	7769
298	11503	7733
299	11550	7700
300	11596	7666
301	11639	7630
302	11669	7587
303	11702	7545
304	11735	7502
305	11798	7479
306	11842	7444
307	11881	7406
308	11915	7365
309	11963	7332
310	12002	7294
311	12054	7263
312	12069	7210
313	12102	7168
314	12130	7124
315	12155	7077
316	12183	7033
317	12218	6992
318	12257	6955
319	12298	6918
320	12335	6878
321	12370	6838
322	12418	6805
323	12458	6767
324	12509	6735
325	12556	6701
326	12591	6661
327	12647	6632
328	12685	6593
329	12723	6554
330	12764	6517
331	12779	6466
332	12819	6429
333	12878	6400
334	12916	6361
335	12949	6320
336	12994	6285
337	13033	6246
338	13071	6208
339	13103	6166
340	13114	6114
341	13144	6072
342	13171	6028
343	13230	5999
344	13261	5958
345	13305	5922
346	13345	5884
347	13387	5847
348	13421	5806
349	13447	5763
350	13506	5733
